,Names,Specialization,Experience,Hospital_Name,Area,City,Consultation_Fees,Doctor_recommondations,Patient_stories,Doctor_availability
2419,Dr. Hemant Patil,Dentist,16,Laconic Dental Studio,Pimple Saudagar,Pune,500,93,680, Today
2420,Dr. Rohit Jethale,Dentist,13,Dentalist - The Smile Experts,Kharadi,Pune,500,100,205, Today
2421,Dr. Ketkee Asnani,Dentist,14,Dentalogy - Tooth Care Centre,Bund Garden,Pune,300,99,105, Today
2422,Dr. Ashish Gupta,Dentist,18,Acme Dental Lounge,Aundh,Pune,500,98,807, Today
2423,Dr. Anjali V. Mugal,Dentist,14,Divine Multispeciality Dental Clinic and Implant Centre,Kharadi,Pune,300,100,50, Today
2426,Dr. Harveen Nakra,Dentist,23,Dental World,Punjabi Bagh,Delhi,500,99,181, Today
2427,Dr. Ravneet Kaur,Dentist,14,Dr Sharma’s Dental Clinic,Vasant Vihar,Delhi,1000,100,84, Today
2428,Dr. Namita Karna,Dentist,25,Max Multi Speciality Centre - Panchsheel Park,Panchsheel Park,Delhi,1000,33,2, Today
2429,Dr. Vinod Khanna,Dentist,14,Complete Dental Care,Ramesh Nagar,Delhi,500,98,132, Today
2430,Dr. Harleen Gandhi Kalsi,Dentist,14,Meraki Dental Studio,South Extension 2,Delhi,700,100,43, Today
2431,Dr. Manreet Sidhu,Dentist,12,The Dental Experience,Greater Kailash Part 2,Delhi,1000,100,12, Today
2432,Dr. Shivani Agarwal,Dentist,23,Indraprastha Apollo Hospitals,Sarita Vihar,Delhi,700,99,39, Today
2433,Dr. Aval Luthra,Dentist,22,Dental Arche,Vasant Kunj,Delhi,700,97,43, Today
2434,Dr. Akash Sachdeva,Dentist,25,Max Super Speciality Hospital - Saket East Wing,Saket,Delhi,800,95,5, Today
2435,Dr. Aseem Gulati,Dentist,23,Dental and Orthodontic Centre,Greater Kailash Part 2,Delhi,1000,98,117, Today
2438,Dr. Somik Bose,Dentist,15,Orange Dental Clinic,Bhawanipore,Kolkata,500,96,40, Today
2439,Dr. Sawon Barman,Dentist,26,Smile Signature Dental Clinic,Haridevpur,Kolkata,500,95,35, Today
2440,Dr. Isha Juneja Bhardwaj,Dentist,14,Horizon Lifeline Pvt Ltd,Entally,Kolkata,500,97,85, Today
2441,Dr. Shuvro Sengupta,Dentist,9,Sensiv Dental Clinic,Keshtopur,Kolkata,500,100,321, Today
2442,Dr. Sumit Khatore,Dentist,11,Divine Dental Hub,Beliaghata,Kolkata,300,100,12, Today
2443,Dr. Nikita Parasrampuria,Dentist,10,Smile Studio Dental Clinic,Lake Town,Kolkata,500,92,32, Today
2444,Dr. Disha Agarwal,Dentist,13,Dentistree,Park Street,Kolkata,500,98,149, Today
2445,Dr. Anupreet Kaur Choudhury,Dentist,28,Dentall,Keshtopur,Kolkata,500,99,687, Today
2446,Dr. Deepan Chandra,Dentist,17,Smilecare Dental Clinic,Tollygunge,Kolkata,800,96,47, Today
2447,Dr. Anirban Bhattacharyya,Dentist,24,Apollo Dental,Kankurgachi,Kolkata,1000,94,44, Today
2599,Dr. Prakash Kini,Gynecologist/Obstetrician,46,Cloudnine Hospital - Jayanagar,Jayanagar,Bangalore,1050,96,147, Today
2600,Dr. Vanita Vaishnav,Gynecologist/Obstetrician,14,Apollo Clinic,HSR Layout,Bangalore,600,98,63, Today
2601,Dr. Rekha Prashanth,Gynecologist/Obstetrician,29,Varalakshmi Hospital,BTM Layout 1st Stage,Bangalore,600,89,61, Today
2602,Dr. K. Sushmita,Gynecologist/Obstetrician,21,Cloudnine Hospitals - Sahakarnagar,Sahakaranagar,Bangalore,850,98,430, Today
2603,Dr. Sandhya Rani,Gynecologist/Obstetrician,17,Cloudnine Hospital - Old Airport Road,Old Airport Road,Bangalore,850,98,44, Today
2604,Dr. Brunda Channappa,Gynecologist/Obstetrician,33,Cloudnine Hospital - Jayanagar,Jayanagar,Bangalore,850,90,62, Today
2605,Dr. Uma Maheshwari,Gynecologist/Obstetrician,24,"Cloudnine Fertility - IVF Centre, Jayanagar",Jayanagar,Bangalore,850,95,95, Today
2606,Dr. D Vijaya Meenakshi,Gynecologist/Obstetrician,20,Manipal Hospital Varthur Road,Whitefield,Bangalore,800,97,62, Today
2607,Dr. Poornima. M,Gynecologist/Obstetrician,18,Cloudnine Hospital - Old Airport Road,Old Airport Road,Bangalore,850,98,35, Today
2608,Dr. Anu Joseph,Gynecologist/Obstetrician,15,Kauvery Hospitals,Electronics City,Bangalore,550,96,162, Today
2610,Dr. Swapna Mudragada,Gynecologist/Obstetrician,21,MedSurge Clinics,Narsingi,Hyderabad,500,100,7, Today
2611,Dr. A. Santhi,Gynecologist/Obstetrician,21,Gleneagles Global Hospital,Lakdikapul,Hyderabad,800,100,1, Today
2612,Dr. G Keertana Reddy,Gynecologist/Obstetrician,14,Zoi Health,Ameerpet,Hyderabad,500,100,15, Today
2613,Dr. B.V. Hemavathi,Gynecologist/Obstetrician,19,Apollo DRDO Hospital,Kanchanbagh,Hyderabad,600,100,1, Today
2614,Dr. Bharathi Sudha A,Gynecologist/Obstetrician,10,IVY Women and Fertility Centre,Gachibowli,Hyderabad,600,100,2, Today
2615,Dr. Nikitha Reddy,Gynecologist/Obstetrician,9,Vaidya Poly Clinic,Madhapur,Hyderabad,500,100,10, Today
2616,Dr. Dimple Mishra,Gynecologist/Obstetrician,9,Tara Super Speciality Clinic,Nallagandla,Hyderabad,600,100,31, Today
2617,Dr. Swarnalatha Kamshetty,Gynecologist/Obstetrician,13,Aanvi Fertility and Women's Centre,Tilak Nagar,Hyderabad,500,100,4, Today
2618,Dr. Durga Vytla,Gynecologist/Obstetrician,14,Hegde Hospital,Miyapur,Hyderabad,600,98,155, Today
2619,Dr. Sangita A,Gynecologist/Obstetrician,28,Apollo DRDO Hospital,Kanchanbagh,Hyderabad,500,75,6, Today
2621,Dr. V. Bharathi,Gynecologist/Obstetrician,16,Bharati Fertility & Women Center,Mandaveli,Chennai,750,97,55, Today
2622,Dr. Sathya Balasubramanyam,Gynecologist/Obstetrician,27,"Cloudnine Fertility - IVF Centre, T-Nagar",T Nagar,Chennai,600,98,58, Today
2623,Dr. Abirami,Gynecologist/Obstetrician,11,Apollo Womens Hospital,Thousand Lights,Chennai,1000,88,7, Today
2624,Dr. Sowmya Raghavan,Gynecologist/Obstetrician,29,Apollo Speciality Hospitals O M R,OMR Road,Chennai,700,92,8, Today
2625,Dr. Sura Pushpalatha,Gynecologist/Obstetrician,25,Rainbow Children`s Hospital,Sholinganallur,Chennai,800,94,10, Today
2626,Dr. Karthiga Devi,Gynecologist/Obstetrician,18,Apollo Speciality Hospitals O M R,OMR Road,Chennai,800,100,61, Today
2627,Dr. P. Surya,Gynecologist/Obstetrician,15,Cloudnine Hospital - OMR,OMR Road,Chennai,600,100,1, Today
2628,Dr. Nithya J,Gynecologist/Obstetrician,15,Apollo Speciality Hospitals O M R,OMR Road,Chennai,700,100,1, Today
2629,Dr. Meera Ragavan,Gynecologist/Obstetrician,27,Apollo Spectra Hospital,Alwarpet,Chennai,1000,88,10, Today
2630,Dr. Jeya Nirmala R,Gynecologist/Obstetrician,23,Jeevan Mithra Fertility & Women Care Centre,Arumbakkam,Chennai,500,94,28, Today
2632,Dr. Harshika Bavishi,Gynecologist/Obstetrician,37,Dr. Harshika's Maternity Home,Chembur East,Mumbai,1000,96,52, Today
2633,Dr. Vandana Bansal,Gynecologist/Obstetrician,30,Surya Hospitals,Santacruz West,Mumbai,1500,70,7, Today
2634,Dr. Punam Solanki,Gynecologist/Obstetrician,14,Apple Diagnostic Centre,Andheri West,Mumbai,900,80,12, Today
2635,Dr. Ritu Palve,Gynecologist/Obstetrician,21,S L Raheja Fortis Hospital,Mahim,Mumbai,1300,100,3, Today
2636,Dr. Sonal Kumta,Gynecologist/Obstetrician,19,Fortis Hospital,Mulund West,Mumbai,1300,94,21, Today
2637,Dr. Atul Ganatra,Gynecologist/Obstetrician,34,Fortis Hospital,Mulund West,Mumbai,1300,88,5, Today
2638,Dr. Ketan Pandit,Gynecologist/Obstetrician,33,Fortis Hospital,Mulund West,Mumbai,1300,100,5, Today
2639,Dr. Pooja Shukla,Gynecologist/Obstetrician,15,Cloudnine Hospital,Malad West,Mumbai,1100,99,153, Today
2640,Dr. Anagha Chhatrapati,Gynecologist/Obstetrician,16,Global Hospitals,Parel,Mumbai,1600,100,6, Today
2641,Dr. Aditi Phulpagar,Gynecologist/Obstetrician,22,S L Raheja Fortis Hospital,Mahim,Mumbai,1300,100,1, Today
2643,Dr. Mugdha Joshi,Gynecologist/Obstetrician,18,Shri Waman Ganesh Clinic,Bavdhan,Pune,500,99,322, Today
2644,Dr. Rajeshwari Pawar,Gynecologist/Obstetrician,35,Blooming Buds Clinic and Diagnostic Center,Magarpatta City,Pune,600,96,251, Today
2645,Dr. Girija Wagh,Gynecologist/Obstetrician,31,Apollo Spectra Hospitals,Sadashiv Peth,Pune,800,92,50, Today
2646,Dr. Vaishali R Chavan,Gynecologist/Obstetrician,31,Saanvi Gynaecology And Maternity Center,Wanowrie,Pune,500,92,34, Today
2647,Dr. Asha Hol,Gynecologist/Obstetrician,20,Shreeyash Clinic,Sinhagad Road,Pune,600,98,65, Today
2648,Dr. Vijay Kumar S Mete,Gynecologist/Obstetrician,20,Amruta Maternity and General Hospital,Pimpri-Chinchwad,Pune,500,86,6, Today
2649,Dr. Vaishali Chaudhary,Gynecologist/Obstetrician,30,Dr. Vaishali Chaudhary's Ankur Fertility Centre,Yerwada,Pune,800,97,177, Today
2650,Dr. Mithil Patil,Gynecologist/Obstetrician,21,South Asia Fertility Center & Ashwini Hospital,Balewadi,Pune,500,98,60, Today
2651,Dr. Archana Chandak,Gynecologist/Obstetrician,30,Apollo Clinic,Nigdi,Pune,600,85,17, Today
2652,Dr. Sneha Vijay Raut,Gynecologist/Obstetrician,14,Lopmudra Hospital,Pashan,Pune,500,100,1, Today
2654,Dr. Manorama Bhutani,Gynecologist/Obstetrician,65,Fortis La Femme,Greater Kailash Part 2,Delhi,1500,83,4, Today
2655,Dr. Birbala Rai,Gynecologist/Obstetrician,46,Fortis La Femme,Greater Kailash Part 2,Delhi,1100,85,8, Today
2656,Dr. Samvedna Sindwani,Gynecologist/Obstetrician,14,Dr. Samvedna Sindwani Clinic,Vikas Puri,Delhi,500,95,31, Today
2657,Dr. Shilpa Dhameja,Gynecologist/Obstetrician,21,Dr Shilpa Dhameja's Clinic,Vasant Kunj,Delhi,800,98,611, Today
2658,Dr. Shishta Nadda Basu,Gynecologist/Obstetrician,43,Max Super Speciality Hospital,Shalimar Bagh,Delhi,1000,100,1, Today
2659,Dr. Loveleena Nadir,Gynecologist/Obstetrician,40,Fortis La Femme,Greater Kailash Part 2,Delhi,2000,95,46, Today
2660,Dr. Raka Guleria,Gynecologist/Obstetrician,35,Fortis La Femme,Greater Kailash Part 2,Delhi,1500,86,8, Today
2661,Dr. Saloni Chopra,Gynecologist/Obstetrician,12,Shivesh Nursing Home And  Maternity Centre,Vikas Puri,Delhi,500,95,31, Today
2662,Dr. Vimal Grover,Gynecologist/Obstetrician,48,Fortis La Femme,Greater Kailash Part 2,Delhi,1800,71,6, Today
2663,Dr. Dhwani Mago,Gynecologist/Obstetrician,16,SCI International Hospital,Greater Kailash Part 1,Delhi,1200,100,99, Today
2665,Dr. Sukhamoy Barik,Gynecologist/Obstetrician,16,Charnock Hospital,Teghoria,Kolkata,650,99,105, Today
2666,Dr. ARCHANA  SINHA,Gynecologist/Obstetrician,22,Apollo Gleneagles Hospitals,Salt Lake,Kolkata,600,75,2, Today
2667,Dr. Arnab Basak,Gynecologist/Obstetrician,26,Apollo Gleneagles Hospitals,Salt Lake,Kolkata,1200,99,115, Today
2668,Dr. Subidita Chatterjee,Gynecologist/Obstetrician,38,Body N Mind Cafe,Salt Lake,Kolkata,1000,90,280, Today
2669,Dr. Sharmishtha Patra,Gynecologist/Obstetrician,25,Apollo Gleneagles Hospitals,Salt Lake,Kolkata,700,85,65, Today
2670,Dr. Arunima Haldar,Gynecologist/Obstetrician,14,Care N Cure Opticals And Wellness Centre,New Town,Kolkata,600,98,28, Today
2671,Dr. Sunipa Chatterjee,Gynecologist/Obstetrician,11,Techno India Dama Healthcare & Medical Centre,Beliaghata,Kolkata,900,100,7, Today
2672,Dr. Shamita Singhel,Gynecologist/Obstetrician,26,AMRI Hospitals,Salt Lake,Kolkata,500,100,8, Today
2673,Dr. M. Padmaja Bhattacharya,Gynecologist/Obstetrician,29,Apollo Gleneagles Hospitals,Salt Lake,Kolkata,900,96,29, Today
2674,Dr. Ramna Banerjee,Gynecologist/Obstetrician,26,Apollo Gleneagles Hospitals,Salt Lake,Kolkata,1000,92,28, Today
2677,Dr. Deepthi RK Shashidhar,Gynecologist/Obstetrician,16,First Care Clinic,Jayanagar 4 Block,Bangalore,600,98,361, Today
2678,Dr. M. Gowri,Gynecologist/Obstetrician,33,Queens Hospital,HSR Layout,Bangalore,700,91,272, Today
2679,Dr. Suman Singh,Gynecologist/Obstetrician,29,Manasi Clinic,BTM Layout 2nd Stage,Bangalore,700,93,766, Today
2680,Dr. Asha Puranikmath,Gynecologist/Obstetrician,32,Motherhood Hospital,Indiranagar,Bangalore,800,91,87, Today
2681,Dr. Vidya Muralidhar,Gynecologist/Obstetrician,14,Maathrika Women's Speciality Clinic,Hebbal Kempapura,Bangalore,500,98,149, Today
2682,Dr. Phani Madhuri,Gynecologist/Obstetrician,20,MAK Speciality Health Center,Sarjapur Road,Bangalore,700,95,709, Today
2683,Dr. Pradeepa,Gynecologist/Obstetrician,17,Manipal Hospital,Jayanagar 9 Block,Bangalore,650,98,27, Today
2684,Dr. K. Sushmita,Gynecologist/Obstetrician,21,Cloudnine Hospitals - Sahakarnagar,Sahakaranagar,Bangalore,850,98,430, Today
2685,Dr. Aruna Sahadev,Gynecologist/Obstetrician,21,Xpert Super Speciality Clinic,Rajarajeshwarinagar,Bangalore,600,94,87, Today
2686,Dr. Vijaya Sherbet,Gynecologist/Obstetrician,32,Manipal Hospital,Hebbal,Bangalore,800,94,30, Today
2689,Dr. K. Suma,Gynecologist/Obstetrician,35,Prasad Infertility Solutions,Kukatpally,Hyderabad,700,93,146, Today
2690,Dr. Puja Lavania,Gynecologist/Obstetrician,17,Life Care Gynaecology Hospital,Chanda Nagar,Hyderabad,400,94,149, Today
2691,Dr. B Kiranmayee,Gynecologist/Obstetrician,14,Kiranmayee Women & Fertility Clinic,Nallagandla,Hyderabad,550,96,231, Today
2692,Dr. Jasmin Rath,Gynecologist/Obstetrician,19,Apollo Hospitals,Jubilee Hills,Hyderabad,800,94,67, Today
2693,Dr. Revathy Ramaswamy,Gynecologist/Obstetrician,34,Apollo Hospital,Secunderabad,Hyderabad,800,95,42, Today
2694,Dr. Anusha Emani,Gynecologist/Obstetrician,13,Lotus Hospitals | Kukatpally,Kukatpally,Hyderabad,500,97,62, Today
2695,Dr. N. Sarada Vani,Gynecologist/Obstetrician,24,Genesis Clinics,Ameerpet,Hyderabad,400,95,242, Today
2696,Dr. Pratibha Narayan,Gynecologist/Obstetrician,28,The Birthplace Hospital,Banjara Hills,Hyderabad,1000,91,172, Today
2697,Dr. Vandana Hegde,Gynecologist/Obstetrician,20,Hegde Fertility,Hitech City,Hyderabad,800,93,885, Today
2698,Dr. Swathi Apsani,Gynecologist/Obstetrician,22,Parvathi Hospital,West Marredpally,Hyderabad,800,94,190, Today
2701,Dr. Florence Vasantha Praba,Gynecologist/Obstetrician,23,Cherub Fertility Clinic,Rajakilpakkam,Chennai,400,96,93, Today
2702,Dr. Sharadha SO,Gynecologist/Obstetrician,17,SRS Speciality Clinic,KK Nagar,Chennai,500,100,175, Today
2703,Dr. Madhumitha R,Gynecologist/Obstetrician,10,The Hive Fertility Clinic and Women Center,Madipakkam,Chennai,300,100,129, Today
2704,Dr. P. V. Anuradha,Gynecologist/Obstetrician,35,Anyaa  Wellness for Women,Anna Nagar East,Chennai,1000,99,162, Today
2705,Dr. Parimalam Ramanathan,Gynecologist/Obstetrician,29,Apollo Speciality Hospitals O M R,OMR Road,Chennai,700,98,241, Today
2706,Dr. Srikala Prasad,Gynecologist/Obstetrician,32,Apollo Speciality Hospital,Vanagaram,Chennai,1000,98,113, Today
2707,Dr. M.H. Abinaya,Gynecologist/Obstetrician,21,Sai Ram Fertility & Maternity Clinic,T Nagar,Chennai,700,99,189, Today
2708,Dr. K.S. Ramya,Gynecologist/Obstetrician,18,Diya Speciality Clinic,Velachery,Chennai,500,99,368, Today
2709,Dr. Inthu,Gynecologist/Obstetrician,12,Practo Care Surgeries,Kolathur,Chennai,500,100,679, Today
2710,Dr. Kanimozhi,Gynecologist/Obstetrician,20,Apollo Fertility,Anna Nagar,Chennai,1000,99,103, Today
2712,Dr. Kishori Dinendra Kadam,Gynecologist/Obstetrician,39,Fortis Hospital,Mulund West,Mumbai,1300,90,24, Today
2713,Dr. Shilpa Abhyankar,Gynecologist/Obstetrician,29,Parchure Nursing Home,Dadar East,Mumbai,800,97,135, Today
2714,Dr. Gouri Sultane Gupta,Gynecologist/Obstetrician,20,DZIRE IVF,Goregaon West,Mumbai,1000,91,99, Today
2715,Dr. Nanda R Kumar,Gynecologist/Obstetrician,20,Dr. Nanda R Kumar's Gynecology Clinic.,Chembur East,Mumbai,1000,89,118, Today
2716,Dr. Shreedevi Tanksale,Gynecologist/Obstetrician,15,Little Miracles Fertility Clinic,Vileparle East,Mumbai,1000,99,125, Today
2717,Dr. Nutan Hegde,Gynecologist/Obstetrician,20,Saple Clinic,Dadar West,Mumbai,900,97,69, Today
2718,Dr. Renubala Rout,Gynecologist/Obstetrician,17,For Women,Kandivali East,Mumbai,1000,96,34, Today
2719,Dr. Pradnya Randive,Gynecologist/Obstetrician,17,Aaditya Care Maternity Home,Bhandup West,Mumbai,800,95,79, Today
2720,Dr. Hemlata Hardasani,Gynecologist/Obstetrician,27,Mothers Care Clinic,Andheri West,Mumbai,1500,99,759, Today
2721,Dr. Shilpa Bansal Agrawal,Gynecologist/Obstetrician,18,Harleys Cosmetic & Women Clinic,Andheri West,Mumbai,1500,99,472, Today
2724,Dr. Aarti Rapol,Gynecologist/Obstetrician,23,Apollo Clinic,Aundh,Pune,500,100,110, Today
2725,Dr. Shalini Vijay,Gynecologist/Obstetrician,20,Diva Clinic - Undri,Undri,Pune,400,98,146, Today
2726,Dr. Manisha Munemane,Gynecologist/Obstetrician,28,Vatsalya Women's World,Wakad,Pune,600,94,401, Today
2727,Dr. Jagrati Laad,Gynecologist/Obstetrician,19,Wombs Fertility and Reproductive Health Clinic,Baner,Pune,600,93,226, Today
2728,Dr. Sarika Dahiphale,Gynecologist/Obstetrician,20,Coral Women's & Child Care Clinic & Fertility Center,Baner,Pune,700,98,227, Today
2729,Dr. Mamta Dighe,Gynecologist/Obstetrician,29,Xenith Advanced Fertility Centre,Wakad,Pune,900,96,617, Today
2730,Dr. Namrata Bhandari,Gynecologist/Obstetrician,13,Om Clinic,Kharadi,Pune,500,100,4, Today
2731,Dr. Rohini Abhay Somani,Gynecologist/Obstetrician,23,Somani Cardiac and Gynec Center,Kothrud,Pune,600,84,21, Today
2732,Dr. Manjusha Yetalkar,Gynecologist/Obstetrician,26,Nisarg Women Healthcare,Pimple Saudagar,Pune,600,95,140, Today
2733,Dr. Madhuri Roy,Gynecologist/Obstetrician,26,"Conceive India IVF Fertility,Gynecology and Test Tube Baby Centre",Hinjewadi,Pune,700,97,86, Today
2736,Dr. Jasleen Kaur Malhotra,Gynecologist/Obstetrician,24,Femme Wellness Clinic,Dwarka,Delhi,700,98,415, Today
2737,Dr. Shikha Gurnani,Gynecologist/Obstetrician,20,Bloom Vision Clinic,Dwarka,Delhi,800,98,687, Today
2738,Dr. Jyoti Bhaskar,Gynecologist/Obstetrician,35,Cloudnine Hospitals,Patparganj,Delhi,1100,99,103, Today
2739,Dr. Yashica Gudesar,Gynecologist/Obstetrician,24,Manipal Hospital,Dwarka Sector 6,Delhi,900,95,196, Today
2740,Dr. Anita K Jain,Gynecologist/Obstetrician,24,Dr. Anita's Mother And Child Clinic,Paschim Vihar,Delhi,600,98,60, Today
2741,Dr. Harveen Kaur,Gynecologist/Obstetrician,23,Healence Clinic & Diagnostics,Malviya Nagar,Delhi,1000,97,70, Today
2742,Dr. Preeti Tahilyani,Gynecologist/Obstetrician,21,Cherish Mother & Child Care  Clinic,Dwarka,Delhi,1000,100,79, Today
2743,Dr. Pratibha Gupta,Gynecologist/Obstetrician,22,Healing Hands PG Gynaecology & Urology Center,Janakpuri,Delhi,600,95,392, Today
2744,Dr. Stuti Ranjan Chawla,Gynecologist/Obstetrician,24,Dr Stuti Ranjan Chawla Clinic,Dwarka,Delhi,600,97,121, Today
2745,Dr. Anuradha Dakour,Gynecologist/Obstetrician,19,Motherhood Clinic,Lajpat Nagar,Delhi,500,97,201, Today
2748,Dr. Subidita Chatterjee,Gynecologist/Obstetrician,38,Body N Mind Cafe,Salt Lake,Kolkata,1000,90,280, Today
2749,Dr. Irina Dey,Gynecologist/Obstetrician,19,AMRI Hospitals,Dhakuria,Kolkata,900,100,144, Today
2750,Dr. Nandini Chakrabarti Bhattacharyya,Gynecologist/Obstetrician,26,AMRI Hospitals,Salt Lake,Kolkata,800,58,15, Today
2751,Dr. Sharmishtha Patra,Gynecologist/Obstetrician,25,Apollo Gleneagles Hospitals,Salt Lake,Kolkata,700,85,65, Today
2752,Dr. Arunima Haldar,Gynecologist/Obstetrician,14,Care N Cure Opticals And Wellness Centre,New Town,Kolkata,600,98,28, Today
2753,Dr. Sunipa Chatterjee,Gynecologist/Obstetrician,11,Techno India Dama Healthcare & Medical Centre,Beliaghata,Kolkata,900,100,7, Today
2754,Dr. Shamita Singhel,Gynecologist/Obstetrician,26,AMRI Hospitals,Salt Lake,Kolkata,500,100,8, Today
2755,Dr. Arindam Rath,Gynecologist/Obstetrician,19,Apollo Fertility,Gobra,Kolkata,1000,100,6, Today
2756,Dr. M. Padmaja Bhattacharya,Gynecologist/Obstetrician,29,Apollo Gleneagles Hospitals,Salt Lake,Kolkata,900,96,29, Today
2757,Dr. Ramna Banerjee,Gynecologist/Obstetrician,26,Apollo Gleneagles Hospitals,Salt Lake,Kolkata,1000,92,28, Today
2793,Dr. Komal Sharma,Homoeopath,11,Dr. Chetan's Homeo Clinics,Begumpet,Hyderabad,51,99,47, Today
2799,Dr. Satish Erra,Homoeopath,14,Dr. Satish Erra's Homeopathy Clinic,Dilsukhnagar,Hyderabad,500,98,579, Today
2808,Dr. Pravin K Aggarwal,General Physician,42,Fortis Malar Hospital,Adyar,Chennai,700,85,5, Today
2810,Dr. Poonam Verma,Ayurveda,27,Bliss Medicare Centre,Vadapalani,Chennai,600,96,17, Today
2816,Dr. Bhavesh Acharya,Homoeopath,34,Global Homoeopathy and Esthetiques Clinic,Andheri East,Mumbai,1500,98,581, Today
2818,Dr. Jagat Shah,Homoeopath,21,Total Health Care,Borivali West,Mumbai,800,95,125, Today
2834,Dr. Vaseem Choudhary,Homoeopath,14,Homeo Care Clinic,Hadapsar,Pune,300,92,280, Today
2848,Dr. Supra Paul,Homoeopath,22,Dr Batra's Positive Health Clinic Pvt Ltd,Minto Park,Kolkata,450,100,8, Today
2849,Dr. Shahid Shaikh,Homoeopath,18,Dr Batra's Positive Health Clinic Pvt Ltd,Salt Lake,Kolkata,450,100,1, Today
2850,Dr. Abhishek Chaturvedi,Homoeopath,12,Dr Batra's Positive Health Clinic Pvt Ltd,Behala,Kolkata,450,86,6, Today
2851,Dr. Chinmay Mahanta,Homoeopath,19,Dr Batra's Positive Health Clinic Pvt Ltd,Kolkatta,Kolkata,450,100,1, Today
2852,Dr. Chayan Kumar Roy,General Physician,28,Rameswara Nursing Home,Ultadanga,Kolkata,800,100,1, Today
2853,Dr. Dipayan Das,Homoeopath,12,The Healers,Garia,Kolkata,600,90,18, Today
2854,Dr. Shyama Prasad Roy,General Physician,37,Binapani Doctor's Chamber,Jadavpur,Kolkata,700,79,8, Today
2855,Dr. Sandip Rungta,General Physician,23,Mansa Sheel,Beadon Street,Kolkata,700,99,312, Today
